New York city New York,8550405
Los Angeles city California,3971883
Chicago city Illinois,2720546
Houston city Texas,2296224
Philadelphia city Pennsylvania,1567442
Phoenix city Arizona,1563025
San Antonio city Texas,1469845
San Diego city California,1394928
Dallas city Texas,1300092
San Jose city California,1026908
Austin city Texas,931830
Jacksonville city Florida,868031
San Francisco city California,864816
Indianapolis city (balance) Indiana,853173
Columbus city Ohio,850106
Fort Worth city Texas,833319
Charlotte city North Carolina,827097
Seattle city Washington,684451
Denver city Colorado,682545
El Paso city Texas,681124
Detroit city Michigan,677116
Washington city District of Columbia,672228
Boston city Massachusetts,667137
Memphis city Tennessee,655770
Nashville-Davidson metropolitan government (balance) Tennessee,654610
Portland city Oregon,632309
Oklahoma City city Oklahoma,631346
Las Vegas city Nevada,623747
Baltimore city Maryland,621849
Louisville/Jefferson County metro government (balance) Kentucky,615366
Milwaukee city Wisconsin,600155
Albuquerque city New Mexico,559121
Tucson city Arizona,531641
Fresno city California,520052
Sacramento city California,490712
Kansas City city Missouri,475378
Long Beach city California,474140
Mesa city Arizona,471825
Atlanta city Georgia,463878
Colorado Springs city Colorado,456568
Virginia Beach city Virginia,452745
Raleigh city North Carolina,451066
Omaha city Nebraska,443885
Miami city Florida,441003
Oakland city California,419267
Minneapolis city Minnesota,410939
Tulsa city Oklahoma,403505
Wichita city Kansas,389965
New Orleans city Louisiana,389617
Arlington city Texas,388125
Cleveland city Ohio,388072
Bakersfield city California,373640
Tampa city Florida,369075
Aurora city Colorado,359407
Urban Honolulu CDP Hawaii,352769
Anaheim city California,350742
Santa Ana city California,335400
Corpus Christi city Texas,324074
Riverside city California,322424
St. Louis city Missouri,315685
Lexington-Fayette urban county Kentucky,314488
Stockton city California,305658
Pittsburgh city Pennsylvania,304391
St. Paul city Minnesota,300851
Anchorage municipality Alaska,298695
Cincinnati city Ohio,298550
Henderson city Nevada,285667
Greensboro city North Carolina,285342
Plano city Texas,283558
Newark city New Jersey,281944
Toledo city Ohio,279789
Lincoln city Nebraska,277348
Orlando city Florida,270934
Chula Vista city California,265757
Jersey City city New Jersey,264290
Chandler city Arizona,260828
Fort Wayne city Indiana,260326
Buffalo city New York,258071
Durham city North Carolina,257636
St. Petersburg city Florida,257083
Irvine city California,256927
Laredo city Texas,255473
Lubbock city Texas,249042
Madison city Wisconsin,248951
Gilbert town Arizona,247542
Norfolk city Virginia,246393
Reno city Nevada,241445
Winston-Salem city North Carolina,241218
Glendale city Arizona,240126
Hialeah city Florida,237069
Garland city Texas,236897
Scottsdale city Arizona,236839
Irving city Texas,236607
Chesapeake city Virginia,235429
North Las Vegas city Nevada,234807
Fremont city California,232206
Baton Rouge city Louisiana,228590
Richmond city Virginia,220289
Boise City city Idaho,218281
San Bernardino city California,216108
Spokane city Washington,213272
Birmingham city Alabama,212461
Modesto city California,211266
Des Moines city Iowa,210330
Rochester city New York,209802
Tacoma city Washington,207948
Fontana city California,207460
Oxnard city California,207254
Moreno Valley city California,204198
Fayetteville city North Carolina,201963
Huntington Beach city California,201899
Yonkers city New York,201116
Glendale city California,201020
Aurora city Illinois,200661
Montgomery city Alabama,200602
Columbus city Georgia,200579
Amarillo city Texas,198645
Little Rock city Arkansas,197992
Akron city Ohio,197542
Shreveport city Louisiana,197204
Augusta-Richmond County consolidated government (balance) Georgia,197182
Grand Rapids city Michigan,195097
Mobile city Alabama,194288
Salt Lake City city Utah,192672
Huntsville city Alabama,190582
Tallahassee city Florida,189907
Grand Prairie city Texas,187809
Overland Park city Kansas,186515
Knoxville city Tennessee,185291
Worcester city Massachusetts,184815
Brownsville city Texas,183887
Newport News city Virginia,182385
Santa Clarita city California,182371
Port St. Lucie city Florida,179413
Providence city Rhode Island,179207
Fort Lauderdale city Florida,178590
Chattanooga city Tennessee,176588
Tempe city Arizona,175826
Oceanside city California,175691
Garden Grove city California,175393
Rancho Cucamonga city California,175236
Cape Coral city Florida,175229
Santa Rosa city California,174972
Vancouver city Washington,172860
Sioux Falls city South Dakota,171544
Peoria city Arizona,171237
Ontario city California,171214
Jackson city Mississippi,170674
Elk Grove city California,166913
Springfield city Missouri,166810
Pembroke Pines city Florida,166611
Salem city Oregon,164549
Corona city California,164226
Eugene city Oregon,163460
McKinney city Texas,162898
Fort Collins city Colorado,161175
Lancaster city California,161103
Cary town North Carolina,159769
Palmdale city California,158351
Hayward city California,158289
Salinas city California,157380
Frisco city Texas,154407
Springfield city Massachusetts,154341
Pasadena city Texas,153784
Macon-Bibb County Georgia,153515
Alexandria city Virginia,153511
Pomona city California,153266
Lakewood city Colorado,152597
Sunnyvale city California,151754
Escondido city California,151451
Kansas City city Kansas,151306
Hollywood city Florida,149728
Clarksville city Tennessee,149176
Torrance city California,148475
Rockford city Illinois,148278
Joliet city Illinois,147861
Paterson city New Jersey,147754
Bridgeport city Connecticut,147629
Naperville city Illinois,147100
